year,iso3_o,iso3_d,X_ij_usd,home,area_km2,d_HM_polygon,d_HM_cepii
2010,SUR,SUR,0.0,1,146090.75973087366,144.48116676468382,32.0
2010,SVK,SVK,0.0,1,48416.55136940076,83.17576279458541,32.0
2010,SVN,SVN,0.0,1,20321.926127197406,53.88678835921456,32.0
2010,SWE,SWE,0.0,1,444489.8247627385,252.0175458821331,56.0
2010,SWZ,SWZ,0.0,1,17181.01579551672,49.547789619478934,32.0
2010,SYC,SYC,0.0,1,438.51940306188374,7.91579016950927,32.0
2010,TCD,TCD,0.0,1,1273567.0469496564,426.5901005801108,32.0
2010,TGO,TGO,0.0,1,57229.393650543825,90.42935613347683,10.0
2010,THA,THA,0.0,1,517429.801413881,271.91025397169835,71.0
2010,TJK,TJK,0.0,1,142454.39979246937,142.6716881332164,32.0
2010,TKM,TKM,0.0,1,471503.2036875396,259.5626445605605,32.0
2010,TLS,TLS,0.0,1,15179.018243790533,46.57165888796182,32.0
2010,TON,TON,0.0,1,606.2252724980333,9.307153680020777,32.0
2010,TTO,TTO,0.0,1,5155.176531674658,27.140737034098006,13.0
2010,TUN,TUN,0.0,1,157004.97851479638,149.7809491159491,30.0
2010,TUR,TUR,0.0,1,781171.3704787667,334.0973458218122,130.0
2010,TUV,TUV,0.0,1,23.16561937812999,1.8193733317268657,32.0
2010,TWN,TWN,444245000.0,1,36362.197942004306,72.0816848994472,26.0
2010,TZA,TZA,0.0,1,947673.4499502855,367.98424339377857,28.0
2010,UGA,UGA,0.0,1,243479.7990987428,186.52254550797548,32.0
2010,UKR,UKR,0.0,1,571456.3452909099,285.75339311755886,105.0
2010,URY,URY,0.0,1,177836.83172037272,159.40822376859478,20.0
2010,USA,USA,14964400062.464,1,9469009.104998708,1163.1939466773817,642.0
2010,UZB,UZB,0.0,1,448182.4485122961,253.0622055629636,69.0
2010,VCT,VCT,0.0,1,369.9512887969868,7.2706315830083454,32.0
2010,VEN,VEN,0.0,1,918623.4894760997,362.30025481523376,104.0
2010,VNM,VNM,0.0,1,330726.74317737424,217.38747765050778,
2010,VNM,VNM,0.0,1,330726.74317737424,217.38747765050778,
2010,VNM,VNM,0.0,1,330726.74317737424,217.38747765050778,
2010,VNM,VNM,0.0,1,330726.74317737424,217.38747765050778,45.0
2010,VUT,VUT,0.0,1,12366.728898030296,42.03657137926714,32.0
2010,WSM,WSM,0.0,1,2797.0541939576246,19.991726737715886,32.0
2010,YEM,YEM,0.0,1,455667.4154322887,255.16661542471218,
2010,YEM,YEM,0.0,1,455667.4154322887,255.16661542471218,
2010,YEM,YEM,0.0,1,455667.4154322887,255.16661542471218,
2010,YEM,YEM,0.0,1,455667.4154322887,255.16661542471218,40.0
2010,ZAF,ZAF,0.0,1,1224180.4658882904,418.23713312563825,93.0
2010,ZMB,ZMB,0.0,1,756420.3555543907,328.76189118055834,56.0
2010,ZWE,ZWE,0.0,1,391403.6299061553,236.48973294824407,43.0
2015,AFG,AFG,0.0,1,643830.7383041237,303.30929528471574,53.0
2015,AGO,AGO,0.0,1,1252237.064938482,423.0027039460673,26.0
2015,ALB,ALB,0.0,1,28361.756434455638,63.65996974529519,8.0
2015,ARE,ARE,0.0,1,71406.55256747246,101.01105323901676,24.0
2015,ARG,ARG,0.0,1,2789349.098314692,631.3225500263089,116.0
2015,ARM,ARM,0.0,1,29621.165401161375,65.05803427400409,32.0
2015,ASM,ASM,0.0,1,181.37575219664646,5.0908403729300185,32.0
2015,ATG,ATG,0.0,1,454.35681333585575,8.057464278592924,32.0
2015,AUS,AUS,0.0,1,7723183.143068251,1050.504780645481,133.0
2015,AUT,AUT,0.0,1,83943.46226303668,109.51996724871013,32.0
2015,AZE,AZE,0.0,1,86345.72484429444,111.0760138995252,39.0
2015,BDI,BDI,0.0,1,27222.408762751245,62.36819019095854,32.0
2015,BEL,BEL,0.0,1,30629.734380542333,66.1563416993308,34.0
2015,BEN,BEN,0.0,1,116851.06562848772,129.21597384207433,13.0
2015,BFA,BFA,0.0,1,274439.9904022321,198.0266151072291,49.0
2015,BGD,BGD,0.0,1,137523.62401599262,140.18079560564615,45.0
2015,BGR,BGR,0.0,1,112820.34903654722,126.96779745967225,29.0
2015,BHR,BHR,0.0,1,690.9460042229628,9.936236528240993,5.0
