label,n_obs,n_intra,coef_log_d,se_log_d,coef_home,se_home,home_multiplier,r2,year,theta,d_min,spec
Bprime_y2010_theta-7.0_dmin5.0km,28053,10,-1.8361753909082585,0.01905203749237078,-0.8186711392737909,0.6948996633460789,0.44101731587926696,0.7130175653206605,2010,-7.0,5.0,B_prime
Bprime_y2010_theta-7.0_dmin10.0km,28053,10,-1.8361753909082583,0.01905203749237079,-0.23112638833812182,0.6940679281007217,0.7936391529625637,0.7130175653206605,2010,-7.0,10.0,B_prime
Bprime_y2010_theta-7.0_dmin20.0km,28053,10,-1.8361753909082574,0.019052037492370784,0.2645818077157893,0.693407109222914,1.3028860049605349,0.7130175653206605,2010,-7.0,20.0,B_prime
Bprime_y2010_theta-7.0_dmin50.0km,28053,10,-1.8361753909082652,0.01905203749237079,0.8419468592054999,0.6926847890131211,2.3208810098207624,0.7130175653206605,2010,-7.0,50.0,B_prime
Bprime_y2010_theta-7.0_dmin100.0km,28053,10,-1.8361753909082563,0.019052037492370777,1.1402487718969356,0.6923316092599984,3.127546314045536,0.7130175653206605,2010,-7.0,100.0,B_prime
Bprime_y2010_theta-7.0_dmin200.0km,28053,10,-1.8361753909082597,0.01905203749237077,1.399095938240513,0.6920362145428677,4.051535472341842,0.7130175653206605,2010,-7.0,200.0,B_prime
Bprime_y2010_theta-7.0_dmin500.0km,28053,10,-1.836175390908254,0.01905203749237077,1.5903163303648933,0.6918246104777936,4.90530037838691,0.7130175653206605,2010,-7.0,500.0,B_prime
A1_baseline_cepii_y2015,29233,6,-1.8465051355255764,0.018750088927962885,4.86262533382383,0.7669899613807998,129.3633787403958,0.7184114683727694,2015,,,A1_baseline_cepii_intra
A2_baseline_polygon_y2015,29233,6,-1.8465051355255844,0.01875008892796291,6.207274682296647,0.7661629245381449,496.34670388009994,0.7184114683727694,2015,,,A2_baseline_polygon_intra
Bprime_y2015_theta-3.0_dmin0.5km,29233,6,-1.8465051355255835,0.018750088927962916,1.691436109754609,0.7698964682853637,5.427269265511927,0.7184114683727694,2015,-3.0,0.5,B_prime
Bprime_y2015_theta-3.0_dmin1.0km,29233,6,-1.8465051355255786,0.01875008892796289,2.583362790529661,0.7689438055910737,13.24159207358894,0.7184114683727694,2015,-3.0,1.0,B_prime
Bprime_y2015_theta-3.0_dmin2.0km,29233,6,-1.8465051355255797,0.018750088927962896,3.3866735189343222,0.7681761836393405,29.567432993946856,0.7184114683727694,2015,-3.0,2.0,B_prime
Bprime_y2015_theta-3.0_dmin5.0km,29233,6,-1.84650513552558,0.018750088927962903,4.414483110773177,0.7673193800337791,82.63911459662577,0.7184114683727694,2015,-3.0,5.0,B_prime
Bprime_y2015_theta-3.0_dmin10.0km,29233,6,-1.8465051355255777,0.01875008892796288,5.094139970779365,0.7668303041287488,163.06354488867444,0.7184114683727694,2015,-3.0,10.0,B_prime
Bprime_y2015_theta-3.0_dmin20.0km,29233,6,-1.8465051355255766,0.0187500889279629,5.659000660763777,0.7664708835443178,286.861826987815,0.7184114683727694,2015,-3.0,20.0,B_prime
Bprime_y2015_theta-3.0_dmin50.0km,29233,6,-1.8465051355255795,0.018750088927962892,6.20307480944434,0.7661651302658762,494.26648222411166,0.7184114683727694,2015,-3.0,50.0,B_prime
Bprime_y2015_theta-3.0_dmin100.0km,29233,6,-1.8465051355255793,0.01875008892796291,6.447892214083879,0.7660405087675833,631.3700963160916,0.7184114683727694,2015,-3.0,100.0,B_prime
Bprime_y2015_theta-3.0_dmin200.0km,29233,6,-1.8465051355255815,0.01875008892796291,6.590631920385695,0.7659715628380113,728.2409148074055,0.7184114683727694,2015,-3.0,200.0,B_prime
Bprime_y2015_theta-3.0_dmin500.0km,29233,6,-1.8465051355255846,0.01875008892796291,6.615976044902754,0.7659596072362771,746.9334152158784,0.7184114683727694,2015,-3.0,500.0,B_prime
Bprime_y2015_theta-5.0_dmin0.5km,29233,6,-1.8465051355255893,0.018750088927962937,0.05914173193650374,0.7719121081340432,1.0609255971241234,0.7184114683727694,2015,-5.0,0.5,B_prime
Bprime_y2015_theta-5.0_dmin1.0km,29233,6,-1.846505135525581,0.018750088927962906,0.9510684127119049,0.7707671961239126,2.5884737407120704,0.7184114683727694,2015,-5.0,1.0,B_prime
Bprime_y2015_theta-5.0_dmin2.0km,29233,6,-1.8465051355255822,0.018750088927962913,1.7543791411161291,0.7698257833662435,5.7798581514766525,0.7184114683727694,2015,-5.0,2.0,B_prime
Bprime_y2015_theta-5.0_dmin5.0km,29233,6,-1.8465051355255873,0.018750088927962923,2.7821887329556065,0.7687458240308533,16.15433981807628,0.7184114683727694,2015,-5.0,5.0,B_prime
Bprime_y2015_theta-5.0_dmin10.0km,29233,6,-1.846505135525577,0.018750088927962868,3.4618455929610787,0.7681087444423262,31.87575192362303,0.7184114683727694,2015,-5.0,10.0,B_prime
Bprime_y2015_theta-5.0_dmin20.0km,29233,6,-1.8465051355255773,0.018750088927962875,4.105047252487633,0.7675625022213367,60.645610135845345,0.7184114683727694,2015,-5.0,20.0,B_prime
Bprime_y2015_theta-5.0_dmin50.0km,29233,6,-1.8465051355255846,0.018750088927962913,4.927110472177892,0.7669447704008376,137.98023802397438,0.7184114683727694,2015,-5.0,50.0,B_prime
Bprime_y2015_theta-5.0_dmin100.0km,29233,6,-1.846505135525576,0.018750088927962878,5.377080570172638,0.766644926071978,216.38961806959537,0.7184114683727694,2015,-5.0,100.0,B_prime
Bprime_y2015_theta-5.0_dmin200.0km,29233,6,-1.8465051355255808,0.018750088927962906,5.767535608675017,0.7664067200218687,319.74877478943404,0.7184114683727694,2015,-5.0,200.0,B_prime
Bprime_y2015_theta-5.0_dmin500.0km,29233,6,-1.846505135525581,0.018750088927962896,6.055979815440114,0.7662438763348368,426.6567455850264,0.7184114683727694,2015,-5.0,500.0,B_prime
Bprime_y2015_theta-7.0_dmin0.5km,29233,6,-1.8465051355255835,0.018750088927962927,-0.3392630861985766,0.7724572791088802,0.7122950294449503,0.7184114683727694,2015,-7.0,0.5,B_prime
Bprime_y2015_theta-7.0_dmin1.0km,29233,6,-1.8465051355255793,0.01875008892796292,0.5526635945765168,0.7712656710418375,1.7378758551545308,0.7184114683727694,2015,-7.0,1.0,B_prime
Bprime_y2015_theta-7.0_dmin2.0km,29233,6,-1.846505135525587,0.018750088927962923,1.3559743229804275,0.7702820272262008,3.8805400146354225,0.7184114683727694,2015,-7.0,2.0,B_prime
Bprime_y2015_theta-7.0_dmin5.0km,29233,6,-1.8465051355255842,0.01875008892796292,2.3837839148200026,0.7691478153811454,10.845865146025059,0.7184114683727694,2015,-7.0,5.0,B_prime
